vigun.IT97K-499-35.gnm1.contig_289	contig_289
vigun.IT97K-499-35.gnm1.contig_290	contig_290
vigun.IT97K-499-35.gnm1.contig_291	contig_291
vigun.IT97K-499-35.gnm1.contig_292	contig_292
vigun.IT97K-499-35.gnm1.contig_293	contig_293
vigun.IT97K-499-35.gnm1.contig_294	contig_294
vigun.IT97K-499-35.gnm1.contig_295	contig_295
vigun.IT97K-499-35.gnm1.contig_296	contig_296
vigun.IT97K-499-35.gnm1.contig_297	contig_297
vigun.IT97K-499-35.gnm1.contig_299	contig_299
vigun.IT97K-499-35.gnm1.contig_300	contig_300
vigun.IT97K-499-35.gnm1.contig_301	contig_301
vigun.IT97K-499-35.gnm1.contig_302	contig_302
vigun.IT97K-499-35.gnm1.contig_303	contig_303
vigun.IT97K-499-35.gnm1.contig_304	contig_304
vigun.IT97K-499-35.gnm1.contig_305	contig_305
vigun.IT97K-499-35.gnm1.contig_306	contig_306
vigun.IT97K-499-35.gnm1.contig_307	contig_307
vigun.IT97K-499-35.gnm1.contig_308	contig_308
vigun.IT97K-499-35.gnm1.contig_310	contig_310
vigun.IT97K-499-35.gnm1.contig_311	contig_311
vigun.IT97K-499-35.gnm1.contig_312	contig_312
vigun.IT97K-499-35.gnm1.contig_313	contig_313
vigun.IT97K-499-35.gnm1.contig_314	contig_314
vigun.IT97K-499-35.gnm1.contig_315	contig_315
vigun.IT97K-499-35.gnm1.contig_316	contig_316
vigun.IT97K-499-35.gnm1.contig_317	contig_317
vigun.IT97K-499-35.gnm1.contig_318	contig_318
vigun.IT97K-499-35.gnm1.contig_319	contig_319
vigun.IT97K-499-35.gnm1.contig_320	contig_320
vigun.IT97K-499-35.gnm1.contig_321	contig_321
vigun.IT97K-499-35.gnm1.contig_322	contig_322
vigun.IT97K-499-35.gnm1.contig_323	contig_323
vigun.IT97K-499-35.gnm1.contig_324	contig_324
vigun.IT97K-499-35.gnm1.contig_325	contig_325
vigun.IT97K-499-35.gnm1.contig_326	contig_326
vigun.IT97K-499-35.gnm1.contig_327	contig_327
vigun.IT97K-499-35.gnm1.contig_328	contig_328
vigun.IT97K-499-35.gnm1.contig_329	contig_329
vigun.IT97K-499-35.gnm1.contig_330	contig_330
vigun.IT97K-499-35.gnm1.contig_331	contig_331
vigun.IT97K-499-35.gnm1.contig_332	contig_332
vigun.IT97K-499-35.gnm1.contig_333	contig_333
vigun.IT97K-499-35.gnm1.contig_334	contig_334
vigun.IT97K-499-35.gnm1.contig_335	contig_335
vigun.IT97K-499-35.gnm1.contig_336	contig_336
vigun.IT97K-499-35.gnm1.contig_337	contig_337
vigun.IT97K-499-35.gnm1.contig_338	contig_338
